transAmount,transCurrency,transDescription,transChannel,cardType,cardNetwork,cardExpDate,cardCompany,city,zipCode,latitude,longitude,deviceType,posPostalCodeType,country,state,posDetails.geoStreet1,posDetails.geoCity,posDetails.geoState,posDetails.geoCountry,posDetails.geoPostalCodeType,posDetails.lat,posDetails.lon,fraud_flag,mobileDetails.deviceName,mobileDetails.deviceOS,mobileDetails.deviceNetwork,mobileDetails.appName,mobileDetails.userLat,mobileDetails.userLong,mobileDetails.deviceIP,webDetails.deviceMacAddr,webDetails.deviceIP,webDetails.browser,webDetails.deviceOS,webDetails.hostURL,customer.customerType,customer.customerAvgSpending,customer.customerRiskScore,customer.custGender,customer.custMaritalStatus,customer.custIncomeLevel,customer.custStreet1,customer.custStreet2,customer.custCity,customer.custState,customer.custCountry,customer.custPostalCode,customer.lat,customer.lon,paymentCard.cardType,paymentCard.cardExpDate,paymentCard.cardNetwork,paymentCard.cardCompany,paymentCard.cardCompanyCountry,paymentCard.cardLimit,paymentCard.cardBalance,storePOS.storeName,storePOS.storeRiskScore,storePOS.storeType,dollar_amount
3969.213206,rupee,Asperiores aut animi,WEB,credit,mastercard,2020-04-18,"Bauch, Bauch and Bauch",NorthPort,34291,27.04422379,-82.23592377,firefox,NoPOS,US,FL,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,business,3197.28264,0.435599465,Male,Other,High,Lexi Passage,812,Reno,NV,US,89508,39.529633,-119.813805,debit,18-Sep,visa,"Steuber, Steuber and Steuber",US,564409.4216,43580.26357,"Zboncak, Zboncak and Zboncak",0.288189884,Lucius,61.00680698
121,dollar,"Nesciunt laboriosam ",MOBILE,prepaid,mastercard,2020-04-19,Crist Inc,Davenport,52809,41.52099991,-90.58650208,android,NoPOS,US,IA,NA,NA,NA,NA,NA,NA,NA,0,Dessie,ubuntu,jio,Cardguard,35.566529000000003,159.32505,64.145.76.239,NA,NA,NA,NA,NA,business,3023.904797,0.016463309,Male,Other,Low,Senger Unions,82,Providence,RI,US,2940,41.8238,-71.4133,prepaid,18-Jul,mastercard,Blick and Sons,US,863871.5753,73296.33842,NA,0.088001348336,NA,121
437,pound,Ut minus in explicab,POS,debit,americanexpress,2020-11-20,Gottlieb-Gottlieb,WhiteMills,42788,37.54376602,-86.03952026,POS,Other,US,KY,Jaquan Greens,WhiteMills,KY,US,Other,37.543765999999998,-86.039519999999996,0,NA,NA,NA,NA,NA,NA,NA,ac:a9:f1:cb:09:7b,8.8.8.8,chrome,Other,www.zane-dare.biz,business,4822.364555,0.353898793,Female,Other,Very High,Buford Plains,580,NewYork,NY,US,10075,40.714268,-74.005974,prepaid,19-Feb,americanexpress,"Orn, Orn and Orn",US,613053.2776,38171.62448,NA,0.088001348336,NA,575.092
3098.113967,yen,Quisquam iste quo ve,WEB,debit,americanexpress,2020-12-19,"Hoeger, Hoeger and Hoeger",RoundRock,78665,30.508255,-97.67889404,ie,NoPOS,US,TX,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,business,7524.771925,0.379691937,Female,Married,Low,Marietta Mountain,918,Edmond,OK,US,73025,35.652832,-97.478096,debit,17-Nov,visa,"D'Amore, D'Amore and D'Amore",US,503469.6441,15352.55791,Treutel-Treutel,0.544665422,Breana,27.2169312
43,pound,Et culpa est qui eos,MOBILE,prepaid,visa,2020-06-18,Rutherford Group,York,36925,32.47276688,-88.26830292,ubuntu,NoPOS,US,AL,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,business,4504.932293,0.414102343,Male,Unmarried,High,Stracke Fields,163,Andover,MA,US,5544,42.6464,-71.1657,prepaid,22-Feb,americanexpress,Boehm and Sons,US,146417.7958,66918.20617,"Romaguera, Romaguera and Romag",0.240678371,Delphine,56.588
2076.527401,pound,Voluptas quia fugit.,WEB,prepaid,mastercard,2020-05-18,Koch LLC,Marana,85658,32.43673706,-111.2253799,ie,NoPOS,US,AZ,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,priority,5360.514332,0.063049974,Male,Other,High,Robel Villages,227,SaintGeorge,UT,US,84791,37.0892,-113.5564,credit,22-Jul,americanexpress,Gusikowski-Gusikowski,US,568340.5678,64080.41849,Schaden LLC,0.177588262,Carlie,2732.71006
257,pound,Non quaerat molestia,POS,credit,americanexpress,2020-12-20,McClure-McClure,Edmond,73025,35.65283203,-97.47809601,POS,Other,US,OK,Clarabelle Keys,Edmond,OK,US,Other,35.652831999999997,-97.478095999999994,0,NA,NA,NA,NA,NA,NA,NA,d5:cb:17:d5:12:e7,40.118.240.200,ub,Solaris,www.aliya-streich.org,priority,3886.811431,0.513302575,Male,Married,Very High,Helena Drives,246,Marana,AZ,US,85658,32.436737,-111.22538,prepaid,18-May,mastercard,Koch LLC,US,383228.6955,7377.370121,NA,0.088001348336,NA,338.212
269,pound,Autem et accusantium,WEB,debit,americanexpress,2020-10-18,"Sawayn, Sawayn and Sawayn",Carolina,988,18.40200043,-65.97820282,ub,NoPOS,US,PR,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,cb:e6:41:55:95:85,104.24.104.181,ub,Windows,www.joy-predovic.net,priority,7666.209726,0.238841496,Female,Other,Low,Halvorson Green,126,Whitefish,MT,US,59937,48.404,-114.35086,prepaid,20-Jul,americanexpress,"Marquardt, Marquardt and Marquardt",US,462974.0417,38427.2568,NA,0.088001348336,NA,354.004
479,pound,"Est nihil quibusdam ",WEB,prepaid,americanexpress,2020-02-20,Mills and Sons,Carolina,988,18.40200043,-65.97820282,ie,NoPOS,US,PR,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,00:b3:62:c4:8e:ee,157.240.0.36,ie,MacOS,www.kip-macejkovic.com,business,4822.364555,0.353898793,Female,Other,Very High,Buford Plains,580,NewYork,NY,US,10075,40.714268,-74.005974,prepaid,19-Feb,americanexpress,"Orn, Orn and Orn",US,613053.2776,38171.62448,NA,0.088001348336,NA,630.364
3711.880006,rupee,"Cumque odit sint et ",POS,debit,mastercard,2020-03-19,Batz and Sons,Edmond,73025,35.65283203,-97.47809601,POS,Bank,US,OK,America Squares,Edmond,OK,US,Bank,35.652831999999997,-97.478095999999994,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,priority,4516.387984,0.386419597,Female,Married,High,Victoria Station,230,RoundRock,TX,US,78665,30.508255,-97.678894,debit,19-Dec,americanexpress,"Hoeger, Hoeger and Hoeger",US,225848.4036,78734.49116,Lowe-Lowe,0.001269106,Ella,57.0515957
